Date,Sales_Total_Nominal,Inventories_Total_Nominal,Inventories_to_Sales_Ratio_Nominal,Sales_YoY_Growth
2021-09-01,596228,737651,1.237196173275995,20.235862564077745
2021-10-01,610136,754406,1.2364554787785018,20.072420986342344
2021-11-01,625349,765960,1.2248520426194014,22.52759740895891
2021-12-01,626837,785918,1.2537836790106518,20.492977104225663
2022-01-01,652422,797574,1.2224817679354774,20.259238027475845
2022-02-01,659182,818934,1.2423488505450695,23.72173860816751
2022-03-01,678342,840531,1.2390962081074148,21.708004995048015
2022-04-01,679109,859427,1.2655214405934836,19.659404265816207
2022-05-01,679873,877505,1.2906895846724316,19.16641543563462
2022-06-01,695010,892658,1.284381519690364,19.43353232907503
2022-07-01,679462,898404,1.322228468994587,13.956273228589456
2022-08-01,674919,909478,1.3475365191971185,14.656371837015513
2022-09-01,671531,912573,1.3589439653567743,12.629899971151982
2022-10-01,670317,917391,1.3685927702862974,9.86353862089764
2022-11-01,664216,923239,1.3899680224505282,6.2152494047323925
2022-12-01,658999,924269,1.4025347534670007,5.130839436727563
2023-01-01,666730,917045,1.3754368335008174,2.193059093654104
2023-02-01,664709,913788,1.3747188619380812,0.8384634289164472
2023-03-01,651637,913613,1.4020275091807248,-3.936804738612676
2023-04-01,651926,909596,1.3952442455125276,-4.002744772930411
2023-05-01,652453,904320,1.386030871189189,-4.033106183066549
2023-06-01,645131,900285,1.3955072690662826,-7.176731270053671
2023-07-01,649457,897870,1.382493375235004,-4.41599383041289
2023-08-01,661071,896031,1.3554232450069659,-2.051801771768169
2023-09-01,674641,897170,1.329848022874388,0.463120838799691
2023-10-01,667288,892844,1.3380189663233866,-0.4518757543072849
2023-11-01,664409,890388,1.3401203174550615,0.029056812844019397
2023-12-01,665640,895920,1.3459527672615827,1.0077405276790907
2024-01-01,656420,889437,1.3549815666798697,-1.5463530964558325
2024-02-01,667678,892709,1.337035217574939,0.4466616218525621
2024-03-01,657848,887937,1.3497601269594193,0.9531380200940021
2024-04-01,660771,888010,1.343899777683948,1.3567490788831904
2024-05-01,665250,893110,1.3425178504321684,1.9613673322063097
2024-06-01,662292,894462,1.3505553441684333,2.660079890750877
2024-08-01,670160,897971,1.339935239345828,3.1877399119572214
2024-09-01,674075,895579,1.328604383785187,1.9671109457229274
2024-10-01,671425,897864,1.3372513683583422,-0.4766979771463675
2024-11-01,677175,898277,1.3265064422047477,1.4816690844133173
2024-12-01,686602,892308,1.2996000594230719,3.3402617965740955
2025-01-01,680213,899458,1.3223181562245943,2.1893215551950007
2025-02-01,693771,903934,1.3029284879304555,5.690106943725048
2025-03-01,699137,907090,1.2974424182956987,4.711702347538793
2025-04-01,699402,908309,1.2986937412246462,6.316656735294468
2025-05-01,696650,905458,1.2997315725256584,5.429869046916402
